Time,X(CH1),
Second,Volt,
-3.0000000e+00,4.88000e+00,
-2.9996338e+00,4.88000e+00,
-2.9992676e+00,4.92000e+00,
-2.9989014e+00,4.92000e+00,
-2.9985352e+00,4.88000e+00,
-2.9981689e+00,4.88000e+00,
-2.9978027e+00,4.92000e+00,
-2.9974365e+00,4.92000e+00,
-2.9970703e+00,4.88000e+00,
-2.9967041e+00,4.88000e+00,
-2.9963379e+00,4.92000e+00,
-2.9959717e+00,4.92000e+00,
-2.9956055e+00,4.88000e+00,
-2.9952393e+00,4.88000e+00,
-2.9948730e+00,4.92000e+00,
-2.9945068e+00,4.92000e+00,
-2.9941406e+00,4.88000e+00,
-2.9937744e+00,4.88000e+00,
-2.9934082e+00,4.92000e+00,
-2.9930420e+00,4.92000e+00,
-2.9926758e+00,4.88000e+00,
-2.9923096e+00,4.88000e+00,
-2.9919434e+00,4.92000e+00,
-2.9915771e+00,4.92000e+00,
-2.9912109e+00,4.88000e+00,
-2.9908447e+00,4.88000e+00,
-2.9904785e+00,4.92000e+00,
-2.9901123e+00,4.92000e+00,
-2.9897461e+00,4.88000e+00,
-2.9893799e+00,4.88000e+00,
-2.9890137e+00,4.92000e+00,
-2.9886475e+00,4.92000e+00,
-2.9882813e+00,4.88000e+00,
-2.9879150e+00,4.88000e+00,
-2.9875488e+00,4.92000e+00,
-2.9871826e+00,4.92000e+00,
-2.9868164e+00,4.88000e+00,
-2.9864502e+00,4.88000e+00,
-2.9860840e+00,4.92000e+00,
-2.9857178e+00,4.92000e+00,
-2.9853516e+00,4.88000e+00,
-2.9849854e+00,4.88000e+00,
-2.9846191e+00,4.92000e+00,
-2.9842529e+00,4.92000e+00,
-2.9838867e+00,4.88000e+00,
-2.9835205e+00,4.88000e+00,
-2.9831543e+00,4.88000e+00,
-2.9827881e+00,4.88000e+00,
-2.9824219e+00,4.88000e+00,
-2.9820557e+00,4.88000e+00,
-2.9816895e+00,4.88000e+00,
-2.9813232e+00,4.88000e+00,
-2.9809570e+00,4.88000e+00,
-2.9805908e+00,4.88000e+00,
-2.9802246e+00,4.88000e+00,
-2.9798584e+00,4.88000e+00,
-2.9794922e+00,4.88000e+00,
-2.9791260e+00,4.88000e+00,
-2.9787598e+00,4.88000e+00,
-2.9783936e+00,4.88000e+00,
-2.9780273e+00,4.92000e+00,
-2.9776611e+00,4.88000e+00,
-2.9772949e+00,4.88000e+00,
-2.9769287e+00,4.88000e+00,
-2.9765625e+00,4.88000e+00,
-2.9761963e+00,4.88000e+00,
-2.9758301e+00,4.88000e+00,
-2.9754639e+00,4.88000e+00,
-2.9750977e+00,4.88000e+00,
-2.9747314e+00,4.88000e+00,
-2.9743652e+00,4.88000e+00,
-2.9739990e+00,4.88000e+00,
-2.9736328e+00,4.88000e+00,
-2.9732666e+00,4.88000e+00,
-2.9729004e+00,4.88000e+00,
-2.9725342e+00,4.88000e+00,
-2.9721680e+00,4.88000e+00,
-2.9718018e+00,4.88000e+00,
-2.9714355e+00,4.92000e+00,
-2.9710693e+00,4.88000e+00,
-2.9707031e+00,4.88000e+00,
-2.9703369e+00,4.88000e+00,
-2.9699707e+00,4.88000e+00,
-2.9696045e+00,4.88000e+00,
-2.9692383e+00,4.88000e+00,
-2.9688721e+00,4.88000e+00,
-2.9685059e+00,4.88000e+00,
-2.9681396e+00,4.88000e+00,
-2.9677734e+00,4.88000e+00,
-2.9674072e+00,4.92000e+00,
-2.9670410e+00,4.88000e+00,
-2.9666748e+00,4.88000e+00,
-2.9663086e+00,4.88000e+00,
-2.9659424e+00,4.92000e+00,
-2.9655762e+00,4.92000e+00,
-2.9652100e+00,4.88000e+00,
-2.9648438e+00,4.88000e+00,
-2.9644775e+00,4.88000e+00,
-2.9641113e+00,4.88000e+00,
-2.9637451e+00,4.92000e+00,
-2.9633789e+00,4.92000e+00,
-2.9630127e+00,4.88000e+00,
-2.9626465e+00,4.88000e+00,
-2.9622803e+00,4.88000e+00,
-2.9619141e+00,4.88000e+00,
-2.9615479e+00,4.88000e+00,
-2.9611816e+00,4.88000e+00,
-2.9608154e+00,4.88000e+00,
-2.9604492e+00,4.88000e+00,
-2.9600830e+00,4.88000e+00,
-2.9597168e+00,4.88000e+00,
-2.9593506e+00,4.88000e+00,
-2.9589844e+00,4.88000e+00,
-2.9586182e+00,4.88000e+00,
-2.9582520e+00,4.88000e+00,
-2.9578857e+00,4.88000e+00,
-2.9575195e+00,4.92000e+00,
-2.9571533e+00,4.92000e+00,
-2.9567871e+00,4.88000e+00,
-2.9564209e+00,4.88000e+00,
-2.9560547e+00,4.92000e+00,
-2.9556885e+00,4.88000e+00,
-2.9553223e+00,4.88000e+00,
-2.9549561e+00,4.92000e+00,
-2.9545898e+00,4.88000e+00,
-2.9542236e+00,4.88000e+00,
-2.9538574e+00,4.88000e+00,
-2.9534912e+00,4.88000e+00,
-2.9531250e+00,4.88000e+00,
-2.9527588e+00,4.88000e+00,
-2.9523926e+00,4.88000e+00,
-2.9520264e+00,4.88000e+00,
-2.9516602e+00,4.88000e+00,
-2.9512939e+00,4.88000e+00,
-2.9509277e+00,4.88000e+00,
-2.9505615e+00,4.92000e+00,
-2.9501953e+00,4.92000e+00,
-2.9498291e+00,4.92000e+00,
-2.9494629e+00,4.88000e+00,
-2.9490967e+00,4.88000e+00,
-2.9487305e+00,4.88000e+00,
-2.9483643e+00,4.92000e+00,
-2.9479980e+00,4.88000e+00,
-2.9476318e+00,4.88000e+00,
-2.9472656e+00,4.88000e+00,
-2.9468994e+00,4.88000e+00,
-2.9465332e+00,4.88000e+00,
-2.9461670e+00,4.88000e+00,
-2.9458008e+00,4.88000e+00,
-2.9454346e+00,4.88000e+00,
-2.9450684e+00,4.88000e+00,
-2.9447021e+00,4.88000e+00,
-2.9443359e+00,4.88000e+00,
-2.9439697e+00,4.88000e+00,
-2.9436035e+00,4.88000e+00,
-2.9432373e+00,4.88000e+00,
-2.9428711e+00,4.88000e+00,
-2.9425049e+00,4.88000e+00,
-2.9421387e+00,4.88000e+00,
-2.9417725e+00,4.88000e+00,
-2.9414063e+00,4.88000e+00,
-2.9410400e+00,4.88000e+00,
-2.9406738e+00,4.92000e+00,
-2.9403076e+00,4.88000e+00,
-2.9399414e+00,4.88000e+00,
-2.9395752e+00,4.88000e+00,
-2.9392090e+00,4.88000e+00,
-2.9388428e+00,4.88000e+00,
-2.9384766e+00,4.92000e+00,
-2.9381104e+00,4.88000e+00,
-2.9377441e+00,4.88000e+00,
-2.9373779e+00,4.92000e+00,
-2.9370117e+00,4.88000e+00,
-2.9366455e+00,4.88000e+00,
-2.9362793e+00,4.88000e+00,
-2.9359131e+00,4.92000e+00,
-2.9355469e+00,4.88000e+00,
-2.9351807e+00,4.92000e+00,
-2.9348145e+00,4.88000e+00,
-2.9344482e+00,4.88000e+00,
-2.9340820e+00,4.88000e+00,
-2.9337158e+00,4.88000e+00,
-2.9333496e+00,4.88000e+00,
-2.9329834e+00,4.88000e+00,
-2.9326172e+00,4.88000e+00,
-2.9322510e+00,4.92000e+00,
-2.9318848e+00,4.92000e+00,
-2.9315186e+00,4.92000e+00,
-2.9311523e+00,4.88000e+00,
-2.9307861e+00,4.88000e+00,
-2.9304199e+00,4.88000e+00,
-2.9300537e+00,4.88000e+00,
-2.9296875e+00,4.92000e+00,
-2.9293213e+00,4.92000e+00,
-2.9289551e+00,4.88000e+00,
-2.9285889e+00,4.92000e+00,
-2.9282227e+00,4.88000e+00,
-2.9278564e+00,4.88000e+00,
-2.9274902e+00,4.88000e+00,
-2.9271240e+00,4.88000e+00,
-2.9267578e+00,4.88000e+00,
-2.9263916e+00,4.88000e+00,
-2.9260254e+00,4.88000e+00,
-2.9256592e+00,4.88000e+00,
-2.9252930e+00,4.88000e+00,
-2.9249268e+00,4.88000e+00,
-2.9245605e+00,4.88000e+00,
-2.9241943e+00,4.88000e+00,
-2.9238281e+00,4.88000e+00,
-2.9234619e+00,4.92000e+00,
-2.9230957e+00,4.88000e+00,
-2.9227295e+00,4.88000e+00,
-2.9223633e+00,4.88000e+00,
-2.9219971e+00,4.88000e+00,
-2.9216309e+00,4.88000e+00,
-2.9212646e+00,4.88000e+00,
-2.9208984e+00,4.88000e+00,
-2.9205322e+00,4.88000e+00,
-2.9201660e+00,4.92000e+00,
-2.9197998e+00,4.92000e+00,
-2.9194336e+00,4.88000e+00,
-2.9190674e+00,4.88000e+00,
-2.9187012e+00,4.88000e+00,
-2.9183350e+00,4.88000e+00,
-2.9179688e+00,4.88000e+00,
-2.9176025e+00,4.88000e+00,
-2.9172363e+00,4.88000e+00,
-2.9168701e+00,4.88000e+00,
-2.9165039e+00,4.92000e+00,
-2.9161377e+00,4.88000e+00,
-2.9157715e+00,4.92000e+00,
-2.9154053e+00,4.88000e+00,
-2.9150391e+00,4.88000e+00,
-2.9146729e+00,4.88000e+00,
-2.9143066e+00,4.88000e+00,
-2.9139404e+00,4.88000e+00,
-2.9135742e+00,4.88000e+00,
-2.9132080e+00,4.88000e+00,
-2.9128418e+00,4.88000e+00,
-2.9124756e+00,4.88000e+00,
-2.9121094e+00,4.88000e+00,
-2.9117432e+00,4.88000e+00,
-2.9113770e+00,4.88000e+00,
-2.9110107e+00,4.88000e+00,
-2.9106445e+00,4.92000e+00,
-2.9102783e+00,4.92000e+00,
-2.9099121e+00,4.88000e+00,
-2.9095459e+00,4.88000e+00,
-2.9091797e+00,4.88000e+00,
-2.9088135e+00,4.92000e+00,
-2.9084473e+00,4.88000e+00,
-2.9080811e+00,4.88000e+00,
-2.9077148e+00,4.88000e+00,
-2.9073486e+00,4.88000e+00,
-2.9069824e+00,4.88000e+00,
-2.9066162e+00,4.88000e+00,
-2.9062500e+00,4.88000e+00,
-2.9058838e+00,4.88000e+00,
-2.9055176e+00,4.88000e+00,
-2.9051514e+00,4.88000e+00,
-2.9047852e+00,4.88000e+00,
-2.9044189e+00,4.88000e+00,
-2.9040527e+00,4.88000e+00,
-2.9036865e+00,4.88000e+00,
-2.9033203e+00,4.88000e+00,
-2.9029541e+00,4.92000e+00,
-2.9025879e+00,4.92000e+00,
-2.9022217e+00,4.88000e+00,
-2.9018555e+00,4.88000e+00,
-2.9014893e+00,4.88000e+00,
-2.9011230e+00,4.88000e+00,
-2.9007568e+00,4.88000e+00,
-2.9003906e+00,4.88000e+00,
-2.9000244e+00,4.92000e+00,
-2.8996582e+00,4.92000e+00,
-2.8992920e+00,4.92000e+00,
-2.8989258e+00,4.92000e+00,
-2.8985596e+00,4.92000e+00,
-2.8981934e+00,4.92000e+00,
-2.8978271e+00,4.88000e+00,
-2.8974609e+00,4.88000e+00,
-2.8970947e+00,4.88000e+00,
-2.8967285e+00,4.88000e+00,
-2.8963623e+00,4.88000e+00,
-2.8959961e+00,4.88000e+00,
-2.8956299e+00,4.88000e+00,
-2.8952637e+00,4.88000e+00,
-2.8948975e+00,4.88000e+00,
-2.8945313e+00,4.92000e+00,
-2.8941650e+00,4.88000e+00,
-2.8937988e+00,4.88000e+00,
-2.8934326e+00,4.88000e+00,
-2.8930664e+00,4.88000e+00,
-2.8927002e+00,4.88000e+00,
-2.8923340e+00,4.88000e+00,
-2.8919678e+00,4.88000e+00,
-2.8916016e+00,4.88000e+00,
-2.8912354e+00,4.88000e+00,
-2.8908691e+00,4.88000e+00,
-2.8905029e+00,4.88000e+00,
-2.8901367e+00,4.88000e+00,
-2.8897705e+00,4.92000e+00,
-2.8894043e+00,4.92000e+00,
-2.8890381e+00,4.88000e+00,
-2.8886719e+00,4.88000e+00,
-2.8883057e+00,4.88000e+00,
-2.8879395e+00,4.88000e+00,
-2.8875732e+00,4.88000e+00,
-2.8872070e+00,4.88000e+00,
-2.8868408e+00,4.92000e+00,
-2.8864746e+00,4.88000e+00,
-2.8861084e+00,4.88000e+00,
-2.8857422e+00,4.88000e+00,
-2.8853760e+00,4.88000e+00,
-2.8850098e+00,4.88000e+00,
-2.8846436e+00,4.88000e+00,
-2.8842773e+00,4.88000e+00,
-2.8839111e+00,4.88000e+00,
-2.8835449e+00,4.88000e+00,
-2.8831787e+00,4.88000e+00,
-2.8828125e+00,4.88000e+00,
-2.8824463e+00,4.88000e+00,
-2.8820801e+00,4.88000e+00,
-2.8817139e+00,4.88000e+00,
-2.8813477e+00,4.88000e+00,
-2.8809814e+00,4.88000e+00,
-2.8806152e+00,4.92000e+00,
-2.8802490e+00,4.88000e+00,
-2.8798828e+00,4.88000e+00,
-2.8795166e+00,4.88000e+00,
-2.8791504e+00,4.88000e+00,
-2.8787842e+00,4.88000e+00,
-2.8784180e+00,4.88000e+00,
-2.8780518e+00,4.88000e+00,
-2.8776855e+00,4.88000e+00,
-2.8773193e+00,4.92000e+00,
-2.8769531e+00,4.88000e+00,
-2.8765869e+00,4.88000e+00,
-2.8762207e+00,4.88000e+00,
-2.8758545e+00,4.88000e+00,
-2.8754883e+00,4.92000e+00,
-2.8751221e+00,4.92000e+00,
-2.8747559e+00,4.88000e+00,
-2.8743896e+00,4.88000e+00,
-2.8740234e+00,4.88000e+00,
-2.8736572e+00,4.88000e+00,
-2.8732910e+00,4.88000e+00,
-2.8729248e+00,4.88000e+00,
-2.8725586e+00,4.88000e+00,
-2.8721924e+00,4.92000e+00,
-2.8718262e+00,4.88000e+00,
-2.8714600e+00,4.88000e+00,
-2.8710938e+00,4.88000e+00,
-2.8707275e+00,4.88000e+00,
-2.8703613e+00,4.88000e+00,
-2.8699951e+00,4.88000e+00,
-2.8696289e+00,4.88000e+00,
-2.8692627e+00,4.88000e+00,
-2.8688965e+00,4.88000e+00,
-2.8685303e+00,4.88000e+00,
-2.8681641e+00,4.88000e+00,
-2.8677979e+00,4.92000e+00,
-2.8674316e+00,4.88000e+00,
-2.8670654e+00,4.88000e+00,
-2.8666992e+00,4.88000e+00,
-2.8663330e+00,4.88000e+00,
-2.8659668e+00,4.88000e+00,
-2.8656006e+00,4.92000e+00,
-2.8652344e+00,4.88000e+00,
-2.8648682e+00,4.92000e+00,
-2.8645020e+00,4.92000e+00,
-2.8641357e+00,4.88000e+00,
-2.8637695e+00,4.88000e+00,
-2.8634033e+00,4.88000e+00,
-2.8630371e+00,4.88000e+00,
-2.8626709e+00,4.88000e+00,
-2.8623047e+00,4.88000e+00,
-2.8619385e+00,4.88000e+00,
-2.8615723e+00,4.88000e+00,
-2.8612061e+00,4.88000e+00,
-2.8608398e+00,4.92000e+00,
-2.8604736e+00,4.88000e+00,
-2.8601074e+00,4.88000e+00,
-2.8597412e+00,4.88000e+00,
-2.8593750e+00,4.88000e+00,
-2.8590088e+00,4.88000e+00,
-2.8586426e+00,4.92000e+00,
-2.8582764e+00,4.88000e+00,
-2.8579102e+00,4.88000e+00,
-2.8575439e+00,4.88000e+00,
